doc_id	table_index	rows	cols	p-value	metadata
17903304	2	17	4	2.33E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	36	5	5.14E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	16	4	2.28E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	55	5	1.78E-04  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	34	5	4.58E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	3	6	0	0.00001   	['P value group', '0.10 \xe2\x89\xa4 p', '0.01 \xe2\x89\xa4 p < 0.10']
17903304	2	46	5	1.24E-04  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	23	4	3.22E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	41	5	6.95E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	4	4	6.64E-06  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	20	4	2.63E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	12	4	1.86E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	27	4	6.23E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	40	5	6.72E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	6	4	8.82E-06  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	22	4	3.09E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	33	5	4.45E-05  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	25	4	4.33E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	24	4	4.03E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	47	5	1.29E-04  	['FBAT P value', '2a.', 'Results ordered by GEE p-value results']
17903304	2	10	4	1.55E-05  	['GEE P value', '2a.', 'Results ordered by GEE p-value results']
18369459	3	5	7	0.00001   	['Combined P']
18369459	3	1	7	0.00005   	['Combined P']
18369459	3	2	7	0.000016  	['Combined P']
18369459	1	7	6	0.00005   	['Rep. P', '1.82\xc3\x9710-', '30', '2.51\xc3\x9710', '-19']
18464913	2	3	9	0.00001   	['Perm P', '<0.0001']
18464913	2	6	9	0.00001   	['Perm P', '<0.0001']
18464913	2	8	9	0.00001   	['Perm P', '<0.0001']
18464913	2	4	9	0.00001   	['Perm P', '<0.0001']
18464913	2	5	9	0.00001   	['Perm P', '<0.0001']
18483556	3	24	13	3.6E-03   	['p value', '0.84']
18483556	2	35	12	1.2E-04   	['p value']
18483556	3	19	7	6.3E-11   	['p value', '0.64']
18483556	2	3	8	1.5E-22   	['p value']
18483556	3	12	10	6.1E-20   	['p value']
18483556	3	25	19	6.1E-07   	['p value', '0.56']
18483556	6	8	3	2.0E-05   	['p value']
18483556	2	18	8	6.0E-08   	['p value']
18483556	2	20	8	1.2E-07   	['p value']
18483556	2	32	12	3.3E-06   	['p value']
18483556	2	5	8	8.0E-18   	['p value']
18483556	4	8	3	1.5E-137  	['hair color (black to blonde)', 'p value']
18483556	2	2	8	4.3E-39   	['p value']
18483556	2	29	8	3.4E-06   	['p value']
18483556	2	33	12	2.5E-06   	['p value']
18483556	2	9	8	2.1E-12   	['p value']
18483556	4	14	9	2.9E-06   	['eye color', 'p value']
18483556	2	20	15	4.6E-17   	['p value', '0.25']
18483556	3	31	10	5.7E-04   	['p value']
18483556	2	11	8	4.8E-12   	['p value']
18483556	2	30	8	4.1E-06   	['p value']
18483556	2	12	15	1.7E-20   	['p value', '0.25']
18483556	3	18	16	9.2E-17   	['p value']
18483556	3	16	16	5.1E-15   	['p value']
18483556	2	32	8	4.3E-06   	['p value']
18483556	3	31	22	2.4E-07   	['p value', '0.01']
18483556	3	29	19	1.0E-05   	['p value', '0.56']
18483556	2	29	12	1.1E-04   	['p value']
18483556	3	27	10	3.0E-12   	['p value']
18483556	3	17	22	1.2E-03   	['p value', '0.01']
18483556	2	22	12	1.9E-06   	['p value']
18483556	3	4	10	8.5E-28   	['p value']
18483556	4	3	12	2.5E-23   	['tanning ability', 'p value']
18483556	3	20	10	2.0E-12   	['p value']
18483556	4	6	3	2.8E-35   	['hair color (black to blonde)', 'p value']
18483556	4	3	3	6.6E-36   	['hair color (black to blonde)', 'p value']
18483556	4	4	12	1.7E-12   	['tanning ability', 'p value']
18483556	2	4	12	6.6E-36   	['p value']
18483556	2	24	8	7.1E-07   	['p value']
18483556	2	17	8	5.0E-08   	['p value']
18483556	3	19	13	1.9E-14   	['p value', '0.84']
18483556	3	16	10	2.0E-12   	['p value']
18483556	3	7	7	2.7E-04   	['p value', '0.64']
18483556	2	15	12	1.2E-13   	['p value']
18483556	2	39	8	1.2E-05   	['p value']
18483556	4	4	3	7.6E-18   	['hair color (black to blonde)', 'p value']
18483556	2	34	8	5.2E-06   	['p value']
18483556	3	24	19	4.4E-04   	['p value', '0.56']
18483556	2	2	12	2.7E-56   	['p value']
18483556	2	26	8	1.2E-06   	['p value']
18483556	2	28	8	1.9E-06   	['p value']
18483556	2	16	8	3.0E-08   	['p value']
18483556	2	16	12	1.7E-13   	['p value']
18483556	4	9	3	2.0E-106  	['hair color (black to blonde)', 'p value']
18483556	3	6	16	5.3E-03   	['p value']
18483556	2	38	8	1.1E-05   	['p value']
18483556	4	7	3	4.6E-23   	['hair color (black to blonde)', 'p value']
18483556	6	7	3	4.6E-23   	['p value']
18483556	2	11	15	1.4E-16   	['p value', '0.25']
18483556	2	24	12	2.6E-09   	['p value']
18483556	3	27	19	2.1E-03   	['p value', '0.56']
18483556	3	20	16	5.4E-11   	['p value']
18483556	2	30	12	4.5E-06   	['p value']
18483556	3	14	10	9.9E-14   	['p value']
18483556	3	3	7	2.6E-04   	['p value', '0.64']
18483556	3	18	10	4.0E-12   	['p value']
18483556	2	9	12	4.4E-16   	['p value']
18483556	2	22	8	4.3E-07   	['p value']
18483556	3	26	19	2.2E-03   	['p value', '0.56']
18483556	3	5	16	6.1E-08   	['p value']
18483556	6	12	6	1.4E-03   	['p value']
18483556	3	9	16	3.5E-03   	['p value']
18483556	3	14	13	2.1E-03   	['p value', '0.84']
18483556	3	28	19	1.5E-05   	['p value', '0.56']
18483556	3	15	10	9.9E-78   	['p value']
18483556	2	10	8	3.2E-12   	['p value']
18483556	3	25	13	2.6E-03   	['p value', '0.84']
18483556	2	10	12	2.1E-12   	['p value']
18483556	2	14	8	1.0E-08   	['p value']
18483556	3	23	7	2.7E-04   	['p value', '0.64']
18483556	2	39	12	1.7E-07   	['p value']
18483556	2	23	8	4.6E-07   	['p value']
18483556	3	25	7	3.5E-08   	['p value', '0.64']
18483556	4	9	12	2E-61     	['tanning ability', 'p value']
18483556	3	14	16	4.0E-18   	['p value']
18483556	2	7	12	9.5E-18   	['p value']
18483556	2	28	12	1.1E-08   	['p value']
18483556	3	23	22	3.8E-20   	['p value', '0.01']
18483556	3	12	13	2.5E-03   	['p value', '0.84']
18483556	2	5	15	5.0E-27   	['p value', '0.25']
18483556	3	21	16	1.7E-03   	['p value']
18483556	3	2	10	4.1E-05   	['p value']
18483556	4	6	9	5.3E-09   	['eye color', 'p value']
18483556	2	31	12	3.5E-07   	['p value']
18483556	3	17	13	1.4E-04   	['p value', '0.84']
18483556	2	15	8	3.0E-08   	['p value']
18483556	6	3	6	8.0E-29   	['p value']
18483556	2	37	8	1.1E-05   	['p value']
18483556	3	24	7	1.0E-05   	['p value', '0.64']
18483556	2	14	15	4.7E-17   	['p value', '0.25']
18483556	4	6	12	1.6E-14   	['tanning ability', 'p value']
18483556	2	4	8	8.2E-20   	['p value']
18483556	3	32	7	2.0E-05   	['p value', '0.64']
18483556	2	31	8	4.1E-06   	['p value']
18483556	2	21	8	3.1E-07   	['p value']
18483556	3	24	10	2.2E-23   	['p value']
18483556	4	8	6	6.2E-14   	['skin color', 'p value']
18483556	2	19	15	3.1E-13   	['p value', '0.25']
18483556	3	32	19	1.3E-05   	['p value', '0.56']
18483556	3	9	10	4.7E-04   	['p value']
18483556	3	4	7	7.1E-13   	['p value', '0.64']
18483556	2	3	12	1.2E-29   	['p value']
18483556	3	20	22	5.2E-03   	['p value', '0.01']
18483556	6	5	3	7.2E-03   	['p value']
18483556	3	21	22	2.8E-10   	['p value', '0.01']
18483556	3	25	10	7.5E-15   	['p value']
18483556	3	3	10	8.9E-14   	['p value']
18483556	3	28	10	1.0E-11   	['p value']
18483556	4	8	12	3.9E-89   	['tanning ability', 'p value']
18483556	3	32	22	2.0E-17   	['p value', '0.01']
18483556	4	15	3	6.0E-62   	['hair color (black to blonde)', 'p value']
18483556	3	11	16	9.1E-17   	['p value']
18483556	3	17	7	1.0E-05   	['p value', '0.64']
18483556	2	6	8	1.7E-17   	['p value']
18483556	3	30	7	2.7E-03   	['p value', '0.64']
18483556	3	4	16	7.1E-49   	['p value']
18483556	2	12	8	5.6E-12   	['p value']
18483556	3	16	13	3.1E-06   	['p value', '0.84']
18483556	3	28	22	1.4E-19   	['p value', '0.01']
18483556	4	9	6	6.2E-14   	['skin color', 'p value']
18483556	3	8	10	1.5E-03   	['p value']
18483556	3	10	10	2.2E-07   	['p value']
18483556	3	29	22	8.2E-25   	['p value', '0.01']
18483556	2	7	8	8.5E-15   	['p value']
18483556	3	19	16	6.3E-42   	['p value']
18483556	2	8	8	1.9E-14   	['p value']
18483556	4	9	9	6.1E-13   	['eye color', 'p value']
18483556	3	7	13	4.0E-05   	['p value', '0.84']
18483556	3	7	16	8.3E-21   	['p value']
18483556	3	24	22	7.2E-30   	['p value', '0.01']
18483556	3	7	10	3.0E-14   	['p value']
18483556	4	7	6	1.4E-09   	['skin color', 'p value']
18483556	3	30	10	1.7E-19   	['p value']
18483556	3	26	7	6.5E-03   	['p value', '0.64']
18483556	3	12	16	1.5E-24   	['p value']
18483556	3	23	19	1.4E-04   	['p value', '0.56']
18483556	2	13	8	3.0E-10   	['p value']
18483556	2	21	15	5.8E-17   	['p value', '0.25']
18483556	4	5	3	3.2E-40   	['hair color (black to blonde)', 'p value']
18483556	3	22	7	1.4E-06   	['p value', '0.64']
18483556	4	12	3	4.0E-05   	['hair color (black to blonde)', 'p value']
18483556	6	12	3	2.7E-09   	['p value']
18483556	3	4	13	7.6E-18   	['p value', '0.84']
18483556	3	26	22	8.5E-13   	['p value', '0.01']
18483556	2	35	8	6.3E-06   	['p value']
18483556	3	20	7	9.0E-03   	['p value', '0.64']
18483556	6	11	3	3.1E-52   	['p value']
18483556	6	3	3	6.6E-36   	['p value']
18483556	3	10	16	3.7E-08   	['p value']
18483556	6	4	3	2.5E-06   	['p value']
18483556	3	3	13	2.0E-05   	['p value', '0.84']
18483556	3	18	13	5.0E-04   	['p value', '0.84']
18483556	3	2	16	9.8E-04   	['p value']
18483556	2	36	8	9.5E-06   	['p value']
18483556	3	16	7	3.0E-05   	['p value', '0.64']
18483556	4	11	3	1.7E-13   	['hair color (black to blonde)', 'p value']
18483556	2	27	8	1.8E-06   	['p value']
18483556	3	27	22	1.3E-18   	['p value', '0.01']
18483556	4	16	3	9.3E-47   	['hair color (black to blonde)', 'p value']
18483556	3	15	13	6.3E-28   	['p value', '0.84']
18483556	3	15	16	4.2E-103  	['p value']
18483556	2	19	8	1.0E-07   	['p value']
18483556	2	17	12	2.6E-10   	['p value']
18483556	3	22	19	1.4E-06   	['p value', '0.56']
18483556	3	30	19	4.3E-08   	['p value', '0.56']
18483556	3	23	10	4.0E-12   	['p value']
18483556	3	29	7	7.7E-03   	['p value', '0.64']
18483556	3	3	16	1.2E-17   	['p value']
18483556	3	6	10	1.3E-04   	['p value']
18483556	3	17	16	1.1E-24   	['p value']
18483556	2	8	12	7.4E-30   	['p value']
18483556	3	6	22	5.4E-03   	['p value', '0.01']
18483556	2	27	12	1.6E-04   	['p value']
18483556	3	24	16	6.6E-04   	['p value']
18483556	3	22	10	2.1E-13   	['p value']
18483556	6	4	6	3.6E-03   	['p value']
18483556	2	13	15	1.9E-15   	['p value', '0.25']
18483556	6	13	3	3.4E-06   	['p value']
18483556	3	30	22	1.5E-30   	['p value', '0.01']
18483556	3	8	16	2.7E-03   	['p value']
18483556	2	34	15	6.1E-09   	['p value', '0.25']
18483556	3	5	10	5.3E-07   	['p value']
18483556	3	21	10	8.0E-10   	['p value']
18483556	3	21	7	1.2E-03   	['p value', '0.64']
18483556	2	6	15	5.7E-24   	['p value', '0.25']
18483556	6	11	6	2.7E-44   	['p value']
18483556	4	14	3	1.2E-17   	['hair color (black to blonde)', 'p value']
18483556	2	37	15	1.1E-06   	['p value', '0.25']
18483556	3	26	10	2.5E-06   	['p value']
18483556	2	25	12	6.6E-10   	['p value']
18483556	2	27	15	3.1E-03   	['p value', '0.25']
18483556	3	32	10	5.0E-12   	['p value']
18483556	3	25	22	1.3E-22   	['p value', '0.01']
18483556	2	25	8	9.0E-07   	['p value']
18483556	2	36	15	3.9E-10   	['p value', '0.25']
18483556	4	8	9	6.1E-13   	['eye color', 'p value']
18483556	3	19	10	1.6E-32   	['p value']
18483556	3	29	10	3.9E-13   	['p value']
18483556	4	13	3	7.2E-27   	['hair color (black to blonde)', 'p value']
18483556	2	6	12	4.8E-03   	['p value']
18483556	2	33	8	5.1E-06   	['p value']
18483556	4	7	9	1.0E-04   	['eye color', 'p value']
18483556	3	15	7	1.1E-22   	['p value', '0.64']
18483556	2	26	12	6.0E-06   	['p value']
18483556	6	9	3	3.3E-04   	['p value']
18483556	2	18	12	3.5E-09   	['p value']
18483556	3	11	10	2.7E-13   	['p value']
18483556	3	22	22	5.2E-22   	['p value', '0.01']
18483556	4	5	12	5.1E-44   	['tanning ability', 'p value']
18483556	2	38	12	1.5E-07   	['p value']
18483556	4	4	6	8.0E-05   	['skin color', 'p value']
18483556	2	23	12	7.9E-10   	['p value']
18483556	3	17	10	1.7E-25   	['p value']
18483556	6	7	6	2.7E-17   	['p value']
18604267	1	19	12	2.1E-12   	['Combined', 'P-Value']
18604267	2	4	7	1.3E-08   	['WGHS-1', 'c', 'P-Value', '<2.0E-16']
18604267	1	3	8	8.2E-12   	['WGHS-1', 'P-Value']
18604267	1	17	10	7.7E-04   	['WGHS-2', 'P-Value']
18604267	1	18	8	1.2E-08   	['WGHS-1', 'P-Value']
18604267	1	15	10	4.9E-05   	['WGHS-2', 'P-Value']
18604267	1	16	8	1.9E-17   	['WGHS-1', 'P-Value']
18604267	1	7	8	1.1E-20   	['WGHS-1', 'P-Value']
18604267	1	2	12	1.3E-16   	['Combined', 'P-Value']
18604267	1	10	8	4.4E-15   	['WGHS-1', 'P-Value']
18604267	1	8	12	5.4E-15   	['Combined', 'P-Value']
18604267	1	8	8	4.4E-12   	['WGHS-1', 'P-Value']
18604267	2	5	9	1.9E-10   	['WGHS-2', 'c', 'P-Value', '<2.0E-16']
18604267	1	13	12	2.5E-22   	['Combined', 'P-Value']
18604267	1	9	10	7.5E-03   	['WGHS-2', 'P-Value']
18604267	1	11	12	3.6E-47   	['Combined', 'P-Value']
18604267	1	13	8	5.7E-17   	['WGHS-1', 'P-Value']
18604267	1	18	12	3.9E-13   	['Combined', 'P-Value']
18604267	1	20	10	5.8E-03   	['WGHS-2', 'P-Value']
18604267	1	6	8	4.5E-12   	['WGHS-1', 'P-Value']
18604267	1	17	8	1.0E-08   	['WGHS-1', 'P-Value']
18604267	1	11	8	2.1E-28   	['WGHS-1', 'P-Value']
18604267	1	19	6	0.00007   	['HW', 'b', '0.08']
18604267	1	12	12	4.8E-25   	['Combined', 'P-Value']
